price,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,log_price,district
3300000000.0,alley_house,4.05,16.07,98.0,64.1,2.0,1.0,2.0,certificate,other,21.917188305418847,Quận 12
6480000000.0,land,5.0,12.2,60.8,60.8,3.0,5.0,5.0,certificate,other,22.591986347310595,Quận Bình Tân
10500000000.0,other,3.97,34.25,226.2,112.6,3.0,3.0,3.0,certificate,other,23.07464109410989,Quận Bình Tân
14500000000.0,land,6.16,18.2,265.47,118.6,4.0,1.0,1.0,certificate,unfurnished,23.39741448637294,Quận 6
6400000000.0,other,4.22,10.4,167.5,43.7,5.0,8.0,8.0,certificate,other,22.579563827312036,Quận Bình Thạnh
10700000000.0,other,4.0,25.3,89.6,89.6,2.0,2.0,3.0,under_completion,other,23.09350957841427,Quận Thủ Đức
59000000000.0,other,9.95,16.22,431.5,155.65,3.0,6.0,6.0,certificate,other,24.80080328085213,Quận Tân Bình
7580000000.0,other,3.3,10.35,133.76,34.2,5.0,5.0,5.0,certificate,other,22.74877903660069,Quận Phú Nhuận
5700000000.0,other,3.8,26.35,117.8,99.1,2.0,2.0,3.0,certificate,other,22.463732011786917,Quận 12
7500000000.0,land,8.0,13.79,109.4,109.4,1.0,1.0,1.0,certificate,other,22.738168857488677,Quận Bình Tân
10250000000.0,other,4.0,8.0,133.7,32.0,5.0,3.0,5.0,certificate,partially_furnished,23.05054354253083,Quận 4
12900000000.0,other,6.6,22.9,269.4,117.0,4.0,4.0,7.0,certificate,partially_furnished,23.280493148314036,Quận 6
7550000000.0,other,4.0,12.77,207.7,49.5,5.0,6.0,5.0,certificate,furnished,22.744813400207345,Quận Bình Tân
15900000000.0,other,4.0,23.6,167.2,81.2,3.0,4.0,3.0,certificate,other,23.4895849461726,Quận 6
9900000000.0,other,3.9,10.0,116.0,39.0,5.0,4.0,4.0,certificate,partially_furnished,23.015800594086954,Quận 10
55000000000.0,other,3.9,21.05,237.2,83.1,5.0,6.0,6.0,certificate,other,24.730599022178883,Quận 5
6500000000.0,other,5.5,7.66,138.1,41.9,4.0,3.0,4.0,certificate,other,22.595068013848003,Quận Gò Vấp
16800000000.0,other,8.0,16.0,202.0,128.0,3.0,2.0,4.0,certificate,partially_furnished,23.544644723355624,Quận 6
10990000000.0,other,5.0,21.2,221.2,106.5,4.0,7.0,10.0,certificate,other,23.12025160536194,Quận Gò Vấp
3400000000.0,other,4.3,13.69,19.9,19.9,1.0,2.0,2.0,certificate,other,21.947041268568526,Quận Bình Thạnh
10900000000.0,other,3.75,16.0,117.37,60.0,2.0,2.0,3.0,certificate,other,23.11202862618151,Quận Tân Bình
5500000000.0,other,4.9,10.9,97.1,54.7,2.0,2.0,2.0,certificate,other,22.428013929184836,Quận Thủ Đức
18500000000.0,other,4.75,21.15,424.6,127.7,4.0,4.0,4.0,certificate,other,23.64103656903069,Quận Tân Phú
3450000000.0,alley_house,3.66,13.88,50.1,50.1,2.0,1.0,2.0,certificate,other,21.96164006798968,Quận 8
