PC1_Size,PC2_Size,PC3_Size,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,log_price,Quận 1,Quận 10,Quận 11,Quận 12,Quận 2,Quận 3,Quận 4,Quận 5,Quận 6,Quận 7,Quận 8,Quận 9,Quận Bình Chánh,Quận Bình Thạnh,Quận Bình Tân,Quận Củ Chi,Quận Gò Vấp,Quận Hóc Môn,Quận Nhà Bè,Quận Phú Nhuận,Quận Thủ Đức,Quận Tân Bình,Quận Tân Phú,is_alley_house,is_apartment,is_land,pType_is_other,is_shophouse,is_townhouse,is_villa,pCertificateType_is_other,pFurnitureStatus_is_other,is_partially_furnished,is_unfurnished
-1.3799435647681115,0.6342212941284335,0.21159949397790476,3.0,3.0,2.0,22.079100990581594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
-1.0068387401025127,-0.3625721258426963,0.04200605747978807,3.0,3.0,3.0,22.669175986001726,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.837313842841928,-1.2751656176226855,-0.8073072466614497,4.0,10.0,10.0,23.17427093505873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.2669462341428485,-0.038334770423638975,0.621136584515487,4.0,5.0,5.0,22.683360620993682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.4213593835045304,-0.10293004165016896,0.013436110801213954,2.0,2.0,2.0,22.515025306174465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.4105582806901122,0.7601818007339809,-0.15703519248683356,2.0,2.0,2.0,22.266563946875966,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.014704038159514835,-0.41476660940039883,-0.24562007131887142,2.0,2.0,2.0,23.288215194407947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.04815708339495775,-0.2861976981591059,0.44034316351635644,4.0,5.0,5.0,22.724745837156537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.7625518913449483,-1.765225762588152,0.1352565127495042,3.0,4.0,3.0,24.111040198276427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.1822410261846819,3.4076263229265855,0.30327025072534974,5.0,7.0,6.0,23.045653557236637,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.6860578769675522,-0.15010180623258207,-0.04665454982402299,2.0,1.0,2.0,22.738168857488677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0.601632301277358,-0.6051598107397168,0.24958950569101662,3.0,4.0,6.0,22.974557635552905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9610327781521112,-1.4005599028948121,-0.9178187747777068,1.0,2.0,2.0,24.334183749590636,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-1.1115947839718585,0.03809761434012397,-0.21084989999028161,2.0,2.0,2.0,22.69734686296842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0.01751335324700956,-0.12413103551619192,0.7398729018610715,5.0,5.0,4.0,23.07464109410989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.2705458982430726,-0.007480624677458007,0.08817422638248675,3.0,2.0,3.0,22.170184819882735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
-1.352167481615854,0.10383544801056377,0.03610416403585239,2.0,2.0,2.0,21.901920833288056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9.90450892515878,-1.0521746758586403,0.6340862354482834,3.0,8.0,8.0,24.97176107899577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.0219182735714918,0.12852378710106363,0.012561630935483575,2.0,2.0,2.0,22.390972657504488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0.05392269851190791,-0.5554549549858067,-0.13612548869277738,2.0,4.0,5.0,22.654787248549624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.2338108570762684,-0.4386719223236395,-0.47776785960358203,2.0,1.0,3.0,22.751414084238696,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-1.4824149580597492,0.08375738565333171,0.0001810524920375677,2.0,2.0,2.0,22.08424239008201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-1.2426625477629127,0.6555419968196736,0.10454120068168284,2.0,2.0,3.0,21.901920833288056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
